precinct,ward,nvotes,bowser,twhite,rwhite,bowser_percent,twhite_percent,rwhite_percent,bowser_margin,twhite_margin,rwhite_margin,bowser_marginpct,twhite_marginpct,rwhite_marginpct
96,7,491,203,132,156,0.4134419551934827,0.26883910386965376,0.31771894093686354,-85,-227,-179,-0.17311608961303462,-0.4623217922606925,-0.3645621181262729
97,7,311,146,83,82,0.4694533762057878,0.26688102893890675,0.26366559485530544,-19,-145,-147,-0.06109324758842444,-0.4662379421221865,-0.47266881028938906
98,7,499,244,122,133,0.48897795591182364,0.24448897795591182,0.2665330661322645,-11,-255,-233,-0.022044088176352707,-0.5110220440881763,-0.46693386773547096
99,7,344,166,74,104,0.48255813953488375,0.21511627906976744,0.3023255813953488,-12,-196,-136,-0.03488372093023256,-0.5697674418604651,-0.3953488372093023
100,7,519,204,180,135,0.3930635838150289,0.3468208092485549,0.26011560693641617,-111,-159,-249,-0.2138728323699422,-0.3063583815028902,-0.4797687861271676
101,7,481,221,84,176,0.4594594594594595,0.17463617463617465,0.3659043659043659,-39,-313,-129,-0.08108108108108109,-0.6507276507276507,-0.2681912681912682
102,7,564,245,161,158,0.43439716312056736,0.2854609929078014,0.2801418439716312,-74,-242,-248,-0.13120567375886524,-0.42907801418439717,-0.4397163120567376
103,7,799,327,240,232,0.409261576971214,0.30037546933667086,0.2903629536921151,-145,-319,-335,-0.18147684605757197,-0.39924906132665833,-0.4192740926157697
104,7,741,285,230,226,0.38461538461538464,0.31039136302294196,0.3049932523616734,-171,-281,-289,-0.23076923076923078,-0.3792172739541161,-0.3900134952766532
105,7,572,253,145,174,0.4423076923076923,0.2534965034965035,0.3041958041958042,-66,-282,-224,-0.11538461538461539,-0.493006993006993,-0.3916083916083916
106,7,775,377,175,223,0.4864516129032258,0.22580645161290322,0.28774193548387095,-21,-425,-329,-0.027096774193548386,-0.5483870967741935,-0.42451612903225805
107,7,295,133,104,58,0.45084745762711864,0.3525423728813559,0.19661016949152543,-29,-87,-179,-0.09830508474576272,-0.29491525423728815,-0.6067796610169491
108,7,408,215,44,149,0.5269607843137255,0.10784313725490197,0.36519607843137253,22,-320,-110,0.05392156862745098,-0.7843137254901961,-0.2696078431372549
109,7,419,220,24,175,0.5250596658711217,0.057279236276849645,0.41766109785202865,21,-371,-69,0.050119331742243436,-0.8854415274463007,-0.16467780429594273
110,7,1232,603,198,431,0.48944805194805197,0.16071428571428573,0.34983766233766234,-26,-836,-370,-0.021103896103896104,-0.6785714285714286,-0.3003246753246753
111,7,549,270,123,156,0.4918032786885246,0.22404371584699453,0.28415300546448086,-9,-303,-237,-0.01639344262295082,-0.5519125683060109,-0.43169398907103823
112,8,482,227,107,148,0.470954356846473,0.22199170124481327,0.3070539419087137,-28,-268,-186,-0.058091286307053944,-0.5560165975103735,-0.38589211618257263
113,7,791,397,130,264,0.5018963337547409,0.16434892541087232,0.33375474083438683,3,-531,-263,0.0037926675094816687,-0.6713021491782554,-0.3324905183312263
114,8,619,237,186,196,0.38287560581583197,0.30048465266558966,0.3166397415185784,-145,-247,-227,-0.23424878836833601,-0.3990306946688207,-0.3667205169628433
115,8,441,159,197,85,0.36054421768707484,0.4467120181405896,0.1927437641723356,-123,-47,-271,-0.2789115646258503,-0.10657596371882086,-0.6145124716553289
116,8,654,243,267,144,0.37155963302752293,0.40825688073394495,0.22018348623853212,-168,-120,-366,-0.25688073394495414,-0.1834862385321101,-0.5596330275229358
117,8,432,145,194,93,0.33564814814814814,0.44907407407407407,0.2152777777777778,-142,-44,-246,-0.3287037037037037,-0.10185185185185185,-0.5694444444444444
118,8,554,174,250,130,0.3140794223826715,0.45126353790613716,0.23465703971119134,-206,-54,-294,-0.37184115523465705,-0.09747292418772563,-0.5306859205776173
119,8,417,131,171,115,0.31414868105515587,0.41007194244604317,0.27577937649880097,-155,-75,-187,-0.37170263788968827,-0.17985611510791366,-0.44844124700239807
120,8,509,179,203,127,0.3516699410609037,0.3988212180746562,0.24950884086444008,-151,-103,-255,-0.2966601178781925,-0.20235756385068762,-0.5009823182711198
121,8,732,284,283,165,0.3879781420765027,0.3866120218579235,0.22540983606557377,-164,-166,-402,-0.22404371584699453,-0.226775956284153,-0.5491803278688525
122,8,389,180,127,82,0.46272493573264784,0.3264781491002571,0.21079691516709512,-29,-135,-225,-0.07455012853470437,-0.34704370179948585,-0.5784061696658098
123,8,486,219,153,114,0.4506172839506173,0.3148148148148148,0.2345679012345679,-48,-180,-258,-0.09876543209876543,-0.37037037037037035,-0.5308641975308642
124,8,627,268,208,151,0.4274322169059011,0.3317384370015949,0.24082934609250398,-91,-211,-325,-0.14513556618819776,-0.3365231259968102,-0.518341307814992
125,8,795,309,315,171,0.3886792452830189,0.39622641509433965,0.21509433962264152,-177,-165,-453,-0.22264150943396227,-0.20754716981132076,-0.569811320754717
126,8,694,263,281,150,0.37896253602305474,0.4048991354466859,0.21613832853025935,-168,-132,-394,-0.2420749279538905,-0.19020172910662825,-0.5677233429394812
127,6,1534,778,128,628,0.5071707953063885,0.08344198174706649,0.409387222946545,22,-1278,-278,0.014341590612777053,-0.833116036505867,-0.18122555410691005
128,6,707,325,51,331,0.4596888260254597,0.07213578500707214,0.4681753889674682,-57,-605,-45,-0.08062234794908062,-0.8557284299858557,-0.06364922206506365
129,2,2529,1300,148,1081,0.5140371688414394,0.05852115460656386,0.42744167655199683,71,-2233,-367,0.02807433768287861,-0.8829576907868723,-0.14511664689600634
130,6,340,189,5,146,0.5558823529411765,0.014705882352941176,0.4294117647058823,38,-330,-48,0.11176470588235295,-0.9705882352941176,-0.1411764705882353
131,6,668,291,30,347,0.4356287425149701,0.04491017964071856,0.5194610778443114,-86,-608,26,-0.12874251497005987,-0.9101796407185628,0.038922155688622756
132,7,408,194,94,120,0.47549019607843135,0.23039215686274508,0.29411764705882354,-20,-220,-168,-0.049019607843137254,-0.5392156862745098,-0.4117647058823529
133,8,330,175,62,93,0.5303030303030303,0.18787878787878787,0.2818181818181818,20,-206,-144,0.06060606060606061,-0.6242424242424243,-0.43636363636363634
134,8,479,172,202,105,0.35908141962421714,0.42171189979123175,0.21920668058455114,-135,-75,-269,-0.2818371607515658,-0.15657620041753653,-0.5615866388308977
135,5,994,462,69,463,0.4647887323943662,0.06941649899396378,0.46579476861167,-70,-856,-68,-0.07042253521126761,-0.8611670020120724,-0.06841046277665996
136,3,380,189,2,189,0.49736842105263157,0.005263157894736842,0.49736842105263157,-2,-376,-2,-0.005263157894736842,-0.9894736842105263,-0.005263157894736842
137,1,424,202,12,210,0.47641509433962265,0.02830188679245283,0.49528301886792453,-20,-400,-4,-0.04716981132075472,-0.9433962264150944,-0.009433962264150943
138,3,1075,665,19,391,0.6186046511627907,0.017674418604651163,0.36372093023255814,255,-1037,-293,0.2372093023255814,-0.9646511627906976,-0.2725581395348837
139,5,1039,604,107,328,0.5813282001924928,0.10298363811357074,0.3156881616939365,169,-825,-383,0.16265640038498555,-0.7940327237728585,-0.368623676612127
140,8,1279,588,166,525,0.45973416731821737,0.12978889757623144,0.4104769351055512,-103,-947,-229,-0.08053166536356529,-0.7404222048475372,-0.17904612978889758
141,2,892,429,13,450,0.48094170403587444,0.014573991031390135,0.5044843049327354,-34,-866,8,-0.03811659192825112,-0.9708520179372198,0.008968609865470852
142,6,798,413,51,334,0.5175438596491229,0.06390977443609022,0.41854636591478694,28,-696,-130,0.03508771929824561,-0.8721804511278195,-0.16290726817042606
143,2,226,130,3,93,0.5752212389380531,0.01327433628318584,0.41150442477876104,34,-220,-40,0.1504424778761062,-0.9734513274336283,-0.17699115044247787
144,6,897,294,44,559,0.3277591973244147,0.04905239687848383,0.6231884057971014,-309,-809,221,-0.34448160535117056,-0.9018952062430323,0.2463768115942029
